產品類型,產品名稱,產品型號,碳標籤證書,,,,公司/團體名稱,統一編號/農畜牧登字,生產廠場/服務廠場,,,,,,碳足跡數據,宣告單位,產品生命週期各階段碳足跡比例,,,,,採用產品類別規則(PCR),
,,,證書編號,生效日期,有效期限,狀態,,,名稱(1),地址(1),名稱(2),地址(2),名稱(3),地址(3),,,原料取得,製造/服務,配送銷售,使用,廢棄回收,編號,名稱
商品,蒲公英環保抽取式擦手紙巾,抽取式擦手紙,2204818002,2022/08/21,2027/08/20,有效,正隆股份有限公司竹北廠,99005739,正隆股份有限公司竹北廠,新竹縣竹北市大義里長青路二段300號,,,,,750.00g,一包蒲公英環保抽取式擦手紙巾(200抽；每張尺寸230 mm*210 mm、單層),19.60%,78.40%,1.30%,0.00%,0.70%,21-006,家庭用紙
商品,春風抽取式衛生紙,連續抽取式花紋衛生紙,2204818003,2022/12/18,2027/12/17,有效,正隆股份有限公司竹北廠,99005739,正隆股份有限公司竹北廠,新竹縣竹北市大義里長青路二段300號,,,,,400.00g,一包春風抽取式衛生紙(110抽；每張尺寸200 mm*195mm、2層),46.00%,50.60%,2.30%,0.00%,1.10%,21-006,家庭用紙
商品,春風抽取式衛生紙,連續抽取式花紋衛生紙,2204818006,2022/10/27,2027/10/26,有效,正隆股份有限公司竹北廠,99005739,正隆股份有限公司竹北廠,新竹縣竹北市大義里長青路二段300號,,,,,500.00g,一包春風抽取式衛生紙(130抽；每張尺寸200 mm*195mm、2層),45.20%,51.80%,2.10%,0.00%,0.90%,21-006,家庭用紙
商品,春風抽取式衛生紙,連續抽取式花紋衛生紙,2204818004,2022/10/27,2027/10/26,有效,正隆股份有限公司竹北廠,99005739,正隆股份有限公司竹北廠,新竹縣竹北市大義里長青路二段300號,,,,,360.00g,一包春風抽取式衛生紙(100抽；每張尺寸200 mm*180mm、2層),45.60%,51.60%,1.80%,0.00%,1.00%,21-006,家庭用紙
商品,春風抽取式衛生紙,連續抽取式花紋衛生紙,2204818005,2022/10/27,2027/10/26,有效,正隆股份有限公司竹北廠,99005739,正隆股份有限公司竹北廠,新竹縣竹北市大義里長青路二段300號,,,,,380.00g,一包春風抽取式衛生紙(110抽；每張尺寸200 mm*180mm、2層),46.00%,51.20%,1.80%,0.00%,1.00%,21-006,家庭用紙
商品,五月花高效導水摺疊紙巾200抽,-,2504818001,2025/02/27,2030/02/26,有效,永豐餘消費品實業股份有限公司,22327037,永豐餘消費品實業股份有限公司楊梅廠,桃園市楊梅區梅高路二段668巷70號,,,,,917.00g,每包(22.8*21 cm ; 200抽),44.20%,37.56%,0.57%,0.00%,17.67%,21-006,家庭用紙
商品,蒲公英環保抽取式衛生紙,連續抽取式花紋衛生紙,2204818001,2022/12/18,2027/12/17,有效,正隆股份有限公司竹北廠,99005739,正隆股份有限公司竹北廠,新竹縣竹北市大義里長青路二段300號,,,,,300.00g,一包蒲公英環保抽取式衛生紙(100 抽；每張尺寸200 mm*180 mm、2 層),21.50%,75.40%,1.80%,0.00%,1.30%,21-006,家庭用紙
商品,五月花極上抽取式衛生紙94抽,-,2404818001,2024/05/31,2029/05/30,有效,永豐餘消費品實業股份有限公司,22327037,永豐餘消費品實業股份有限公司楊梅廠,桃園市楊梅區梅高路二段668巷70號,,,,,320.00g,每包(190 mm*200 mm；94抽),52.31%,45.07%,1.67%,0.00%,0.95%,21-006,家庭用紙
商品,五月花舒敏厚棒抽取式衛生紙86抽,-,2404818002,2024/05/31,2029/05/30,有效,永豐餘消費品實業股份有限公司,22327037,永豐餘消費品實業股份有限公司清水廠,臺中市清水區海風里舊庄路258號,,,,,400.00g,每包(190 mm*200 mm；86抽),50.10%,47.40%,1.75%,0.00%,0.75%,21-006,家庭用紙
